zinc_id,smiles
ZINC000150366479,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC/C=C\CCCCCCCC
ZINC000001589375,NCCCC[C@H](NC(=O)[C@@H](N)Cc1c[nH]cn1)C(=O)O
ZINC000150361394,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC
ZINC000008830549,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](CO)NC(C)=O
ZINC000104350156,CCO[C@@]12CC=CC(=O)[C@@]1(C)[C@@H]1CC[C@]3(O)C(=O)O[C@@]4(C)[C@@H]5C[C@@]6(C)[C@@H](CO[C@@]7(O[C@@]43[C@@H]6C7=O)[C@@H]1C[C@@H]2O)C(=O)O5
ZINC000014973433,O=C(NCc1ccc(N2CCOCC2)cc1)Nc1cccc2cnccc12
ZINC000013586715,O=c1cc(OCCn2ccnc2)c2ccccc2o1
ZINC000214591168,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC
ZINC000150374063,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC
ZINC000118913664,C[C@]12C[C@H](O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)CC[C@H]1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)[C@H](O)CO
ZINC000086053088,Oc1ccc(/C=C/c2cc(O)cc3c2[C@H](c2cc(O)cc4c2[C@H](c2cc(O)cc(O)c2)[C@H](c2ccc(O)cc2)O4)[C@H](c2ccc(O)cc2)O3)cc1
ZINC000150360681,CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCC
ZINC000169676987,CC[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@H](OCCc3ccc(N(C)S(C)(=O)=O)cc3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2
ZINC000006920405,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
ZINC000027548840,Cc1cccc(NC2=C(N)C(=O)c3ccccc3C2=O)c1
ZINC000085649505,CCCCCCCCCCCCCCCCC(=O)CC(=O)CCC
ZINC000261496364,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCCCC)CO[P@](=O)(O)O[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1O
ZINC000000336939,COc1cc(OC)c(OC)cc1C=O
ZINC000100822080,N[C@H](CCCCN[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@@H](O)[C@@H]1O)C(=O)O
ZINC000028091617,CCCC[C@@H](S)CCS(=O)(=O)c1ccc(OC)cc1
ZINC000017192049,NC[C@H](Cl)[C@@H](O)c1c[nH]c(N)n1
ZINC000150379701,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCC/C=C\CCCCCCCC
ZINC000169626640,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCCCC
ZINC000012494290,O=C(O)/C=C/c1cc2ccccc2[nH]1
ZINC000214687328,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC
ZINC000169292552,C[C@H](NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)O
ZINC000085744654,C/C(=C/C=C/C(C)=C/C=C\C=C(C)\C=C/C=C(/C)[C@H]1C=C2C(C)(C)CCC[C@]2(C)O1)[C@@H]1C=C2C(C)(C)CCC[C@]2(C)O1
ZINC000257726564,CCCCCCCCCC[C@H](O)[C@@H]1CC[C@H]([C@H](O)CCCCCCCCCCCCCCC2=C[C@@H](C)OC2=O)O1
ZINC000261495774,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC
ZINC000026729932,O=c1cc(N2CCOCC2)oc2cc(C#Cc3ccccc3)ccc12
ZINC000150376435,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC
ZINC000003978459,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@]12C
ZINC000003197528,O=C(O)[C@@H](O)[C@](O)(Cc1ccc(O)cc1)C(=O)O
ZINC000095621722,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
ZINC000038921065,O[C@H]1CCCC1(Cc1ccccc1)Cc1ccccc1
ZINC000150357578,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC
ZINC000001533058,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1
ZINC000033606582,CC(C)CCCCCCCCCCC=O
ZINC000257435428,CCC(=O)[C@@H]1C[C@H](C)[C@]2(CC(=O)[C@]3(C)C4=C(CC[C@]23C)[C@]2(C)CC[C@H](O)[C@](C)(CO)[C@H]2CC4)O1
ZINC000003827198,CC[C@]1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
ZINC000013432658,CC1=CC[C@]2(C)CC[C@@](O)(C(C)C)[C@@H]2CC1
ZINC000031545115,O=C(CCCN1CCN(C(=O)OC2CCCCC2)CC1)c1ccc(F)cc1
ZINC000034986939,c1ccc2cc([C@@]34CNC[C@@H]3C4)ccc2c1
ZINC000030725622,Cc1ncc(C[n+]2c([C@@H](O)CCC(=O)O)sc(CCO[P@@](=O)(O)OP(=O)(O)O)c2C)c(N)n1
ZINC000100066195,O=C1C2(Cl)[C@@]3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)[C@]3(Cl)C1(Cl)[C@@]5(Cl)[C@]24Cl
ZINC000000968353,CCC[C@@H](C)[C@]1(CC)C(=O)N=C(S)NC1=O
ZINC000100773499,CCCCCCCCCC[C@H](O)[C@@H](O)CC[C@@H](O)[C@@H]1CC[C@H]([C@@H]2CC[C@@H](CCCCCCC[C@@H](O)CC3=C[C@@H](C)OC3=O)O2)O1
ZINC000040556566,C[C@]12CC[C@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@H](C(=O)NCc1ccncc1)[C@@H]2O
ZINC000001542534,NC/C(=C/F)CCc1ccc(F)cc1
ZINC000086045648,COc1cc(O[C@@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)c2c(=O)c(OC)c(-c3ccc(O)c(O)c3)oc2c1
ZINC000036966122,O=C1CCC/C=C\CCOC(=O)c2c(O)cc(O)c(Cl)c2C1
ZINC000230076840,CC(=O)OCC1=CO[C@H](OC(=O)[C@H](OC(C)=O)C(C)C)[C@@H]2C1=C[C@@H](OC(=O)CC(C)C)[C@@]21CO1
ZINC000002525893,CNC[C@H](c1ccc(O)cc1)C1(O)CCCCC1
ZINC000150379969,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCC
ZINC000150357275,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\C/C=C\CCCC)COC(=O)CCCCCCCCCCCCCC
ZINC000100825090,O=C(O[C@H]1[C@H](O)C(=O)O[C@H]1[C@@H](OC(=O)c1cc(O)c(O)c(O)c1)C(=O)O)c1cc(O)c(O)c(O)c1
ZINC000002047375,COC(=O)c1c(O)cccc1OC/C=C/c1ccc(F)c(-c2cc(C(=O)O)no2)c1
ZINC000253529526,CC1=CC(=O)CC(C)(C)[C@H]1/C=C/[C@H](C)O[C@H]1O[C@@H](CO[C@@H]2OC[C@@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000085552536,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC
ZINC000257801431,C[C@@H]1CC[C@]2(OC1)O[C@@H]1C[C@@H]3[C@H]4CC[C@H]5C[C@@H](O[C@H]6O[C@@H](CO[C@@H]7OC[C@@H](O)[C@@H](O)[C@@H]7O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]7O)[C@@H](O)[C@@H]6O)CC[C@@]5(C)[C@@H]4CC[C@@]3(C)[C@@H]1[C@H]2C
ZINC000150379533,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCCC
ZINC000257375799,COc1cc(/C=C/C(=O)OC[C@@H]2O[C@H](Oc3cc4oc(-c5ccc(O)cc5)cc(=O)c4c(O)c3[C@@H]3O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O
ZINC000150365620,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC
ZINC000095930187,Cc1cc(-c2ncc(CC(=O)Nc3ccc(-c4cnccn4)cn3)cc2C)ccn1
