zinc_id,smiles
ZINC000014722381,C/C=C\C#CC#C/C=C/C=C/[C@H](CCOC(C)=O)OC(C)=O
ZINC000104378077,CC12[C@@H]3CC(C[C@H]31)[C@]2(C)CCCO
ZINC000001691392,CS(=O)(=O)CC[C@H](N)C(=O)O
ZINC000012494658,CSC[C@@H]1O[C@@H](OP(=O)(O)O)[C@H](O)[C@@H]1O
ZINC000002015922,NS(=O)(=O)c1cc2c(cc1Cl)N[C@H](Cc1ccccc1)NS2(=O)=O
ZINC000095622500,CCCCCCCC/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC
ZINC000000517458,O=c1cc(-c2ccccc2)oc2cc3c(c(O)c12)OCO3
ZINC000085588758,O=C(O)CCC[C@@H](O)/C=C\C=C\CC[C@@H](O)C/C=C\CCCCC(O)O
ZINC000014771814,CC#CC#CC#CC#C[C@@H](O)[C@@H](O)[C@@H](O)CO
ZINC000014720247,C=C1CC[C@]2(C)CC[C@@]3(C)[C@@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2[C@@H]1C
ZINC000257775068,COc1ccc([C@H]2OC[C@@]3(OC(C)=O)[C@H]2CO[C@@H]3c2ccc(O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)c(OC)c2)cc1OC
ZINC000000005438,CN1C(=S)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)C1(C)C
ZINC000000601301,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)N[C@@H](Cc1ccccc1)NS2(=O)=O
ZINC000016052729,COc1cc2nccc(Oc3ccc4c(C(=O)NC5CC5)cccc4c3)c2cc1OC
ZINC000014681083,COc1cc(C)c(C(=O)O[C@@H]2C[C@]3(C)[C@@H]4CC(C)(C)C[C@@]4(O)C=C(C=O)[C@@]23O)c(O)c1
ZINC000150371656,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCC/C=C\CCCCCCCC
ZINC000013807005,C[C@H](N)[P@](=O)(O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O
ZINC000118937067,C[C@H]1O[C@H](O[C@@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@@]5(O)[C@@H]4CC[C@@]3(O)C2)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC000150361107,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCCC
ZINC000003869862,NC(=O)CCCC[C@H](S)CCS
ZINC000085600697,CC1=CC[C@@H]2C(=C1)[C@@H](C(C)C)CC[C@@H]2C
ZINC000257412093,C[C@H](O)/C=C/[C@@]12O[C@]1(C)CC(=O)CC2(C)C
ZINC000014495791,C=C1[C@@H](OC(=O)/C=C(\C)CC)C[C@@H](C(C)C)[C@H]2/C(=C/C)C(=O)C[C@@H]12
ZINC000058661310,CC[C@]1(O)Cc2cc3c(c(O)c2[C@@H](O[C@H]2C[C@H](N(C)C)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(O)cccc1C3=O
ZINC000014689048,Cn1c2ccccc2c(=O)c2c(O)cc3c(c21)C[C@H]([C@@](C)(O)CCl)O3
ZINC000033969753,COc1cccc(/C=N/CC/N=C/c2cccc(OC)c2O)c1O
ZINC000095622894,CCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC
ZINC000000409206,c1coc(Cn2cccc2)c1
ZINC000150358147,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC
ZINC000095622377,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
ZINC000150361870,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC
ZINC000085586300,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)O[C@H](CO/C=C\CCCCCCCCCCCCCC)CO[P@@](=O)(O)OCC[N+](C)(C)C
ZINC000150362683,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCC
ZINC000058650145,CC(=O)Cc1cc[n+]([C@@H]2O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)cc1C(N)=O
ZINC000257521879,C=C1[C@H]2CC[C@H]3[C@]4(C)[C@@H](O)OC(=O)C(C)(C)[C@H]4CC[C@]3(C2)[C@H]1O
ZINC000100285161,CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1
ZINC000150374853,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
ZINC000013976391,O=C(C[C@H]1c2ccccc2N=C(N2CCCCC2)N1c1ccccc1)NCc1ccccc1
ZINC000150370352,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC
ZINC000095618739,O=Cc1cc([C@]2(c3ccccc3)NC(=O)NC2=O)ccc1O
ZINC000169292629,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1C[C@@](OC(=O)/C=C/c2ccc(O)c(O)c2)(C(=O)O)C[C@@H](O)[C@@H]1O
