Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6w4hpdbqt_ZINC000000000257conf1,-6.5,0.0,0.0
6w4hpdbqt_ZINC000000000257conf10,-7.0,0.0,0.0
6w4hpdbqt_ZINC000000000257conf11,-6.5,0.0,0.0
6w4hpdbqt_ZINC000000000257conf12,-6.8,0.0,0.0
6w4hpdbqt_ZINC000000000257conf13,-6.4,0.0,0.0
6w4hpdbqt_ZINC000000000257conf14,-6.7,0.0,0.0
6w4hpdbqt_ZINC000000000257conf15,-6.6,0.0,0.0
6w4hpdbqt_ZINC000000000257conf16,-6.6,0.0,0.0
6w4hpdbqt_ZINC000000000257conf2,-6.4,0.0,0.0
6w4hpdbqt_ZINC000000000257conf3,-6.4,0.0,0.0
6w4hpdbqt_ZINC000000000257conf4,-6.4,0.0,0.0
6w4hpdbqt_ZINC000000000257conf5,-6.5,0.0,0.0
6w4hpdbqt_ZINC000000000257conf6,-6.6,0.0,0.0
6w4hpdbqt_ZINC000000000257conf7,-6.9,0.0,0.0
6w4hpdbqt_ZINC000000000257conf8,-6.4,0.0,0.0
6w4hpdbqt_ZINC000000000257conf9,-6.2,0.0,0.0
6w4hpdbqt_ZINC000000001931conf1,-6.9,0.0,0.0
6w4hpdbqt_ZINC000000001931conf2,-6.9,0.0,0.0
6w4hpdbqt_ZINC000000001931conf3,-6.9,0.0,0.0
6w4hpdbqt_ZINC000000001931conf4,-7.4,0.0,0.0
6w4hpdbqt_ZINC000000001931conf5,-6.9,0.0,0.0
6w4hpdbqt_ZINC000000001931conf6,-6.9,0.0,0.0
6w4hpdbqt_ZINC000000002279conf1,-7.4,0.0,0.0
6w4hpdbqt_ZINC000000002279conf10,-7.3,0.0,0.0
6w4hpdbqt_ZINC000000002279conf2,-7.7,0.0,0.0
6w4hpdbqt_ZINC000000002279conf3,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000002279conf4,-7.6,0.0,0.0
6w4hpdbqt_ZINC000000002279conf5,-8.0,0.0,0.0
6w4hpdbqt_ZINC000000002279conf6,-8.0,0.0,0.0
6w4hpdbqt_ZINC000000002279conf7,-7.7,0.0,0.0
6w4hpdbqt_ZINC000000002279conf8,-8.0,0.0,0.0
6w4hpdbqt_ZINC000000002279conf9,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000003642conf1,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000003642conf10,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000003642conf11,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000003642conf12,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000003642conf2,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000003642conf3,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000003642conf4,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000003642conf5,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000003642conf6,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000003642conf7,-8.1,0.0,0.0
6w4hpdbqt_ZINC000000003642conf8,-8.1,0.0,0.0
6w4hpdbqt_ZINC000000003642conf9,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000008667conf1,-7.7,0.0,0.0
6w4hpdbqt_ZINC000000008667conf2,-7.7,0.0,0.0
6w4hpdbqt_ZINC000000008667conf3,-8.0,0.0,0.0
6w4hpdbqt_ZINC000000008667conf4,-7.7,0.0,0.0
6w4hpdbqt_ZINC000000008667conf5,-8.0,0.0,0.0
6w4hpdbqt_ZINC000000008667conf6,-7.8,0.0,0.0
6w4hpdbqt_ZINC000000008667conf7,-7.8,0.0,0.0
6w4hpdbqt_ZINC000000008667conf8,-7.7,0.0,0.0
6w4hpdbqt_ZINC000000008667conf9,-7.8,0.0,0.0
6w4hpdbqt_ZINC000000010164conf1,-5.7,0.0,0.0
6w4hpdbqt_ZINC000000010164conf2,-5.9,0.0,0.0
6w4hpdbqt_ZINC000000010164conf3,-5.7,0.0,0.0
6w4hpdbqt_ZINC000000010164conf4,-5.7,0.0,0.0
6w4hpdbqt_ZINC000000015515conf1,-7.5,0.0,0.0
6w4hpdbqt_ZINC000000015515conf10,-7.4,0.0,0.0
6w4hpdbqt_ZINC000000015515conf11,-7.4,0.0,0.0
6w4hpdbqt_ZINC000000015515conf12,-7.5,0.0,0.0
6w4hpdbqt_ZINC000000015515conf13,-7.7,0.0,0.0
6w4hpdbqt_ZINC000000015515conf2,-7.6,0.0,0.0
6w4hpdbqt_ZINC000000015515conf3,-7.5,0.0,0.0
6w4hpdbqt_ZINC000000015515conf4,-7.7,0.0,0.0
6w4hpdbqt_ZINC000000015515conf5,-7.5,0.0,0.0
6w4hpdbqt_ZINC000000015515conf6,-7.5,0.0,0.0
6w4hpdbqt_ZINC000000015515conf7,-7.5,0.0,0.0
6w4hpdbqt_ZINC000000015515conf8,-7.4,0.0,0.0
6w4hpdbqt_ZINC000000015515conf9,-7.6,0.0,0.0
6w4hpdbqt_ZINC000000020237conf1,-5.8,0.0,0.0
6w4hpdbqt_ZINC000000020237conf2,-6.5,0.0,0.0
6w4hpdbqt_ZINC000000020237conf3,-6.0,0.0,0.0
6w4hpdbqt_ZINC000000020237conf4,-6.5,0.0,0.0
6w4hpdbqt_ZINC000000020237conf5,-6.0,0.0,0.0
6w4hpdbqt_ZINC000000020237conf6,-6.5,0.0,0.0
6w4hpdbqt_ZINC000000020237conf7,-5.9,0.0,0.0
6w4hpdbqt_ZINC000000020237conf8,-6.0,0.0,0.0
6w4hpdbqt_ZINC000000020237conf9,-6.0,0.0,0.0
6w4hpdbqt_ZINC000000020259conf1,-5.9,0.0,0.0
6w4hpdbqt_ZINC000000020259conf2,-5.9,0.0,0.0
6w4hpdbqt_ZINC000000020259conf3,-6.0,0.0,0.0
6w4hpdbqt_ZINC000000020259conf4,-6.0,0.0,0.0
6w4hpdbqt_ZINC000000020259conf5,-5.9,0.0,0.0
6w4hpdbqt_ZINC000000020259conf6,-5.9,0.0,0.0
6w4hpdbqt_ZINC000000020259conf7,-5.9,0.0,0.0
6w4hpdbqt_ZINC000000020259conf8,-6.0,0.0,0.0
6w4hpdbqt_ZINC000000057001conf1,-5.1,0.0,0.0
6w4hpdbqt_ZINC000000057001conf2,-5.3,0.0,0.0
6w4hpdbqt_ZINC000000057001conf3,-5.3,0.0,0.0
6w4hpdbqt_ZINC000000057001conf4,-5.6,0.0,0.0
6w4hpdbqt_ZINC000000057001conf5,-5.4,0.0,0.0
6w4hpdbqt_ZINC000000057001conf6,-5.7,0.0,0.0
6w4hpdbqt_ZINC000000083315conf1,-7.7,0.0,0.0
6w4hpdbqt_ZINC000000083315conf2,-7.7,0.0,0.0
