Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6w4hpdbqt_ZINC000000000257,-6.5,0.0,0.0
6w4hpdbqt_ZINC000000001931,-6.9,0.0,0.0
6w4hpdbqt_ZINC000000002279,-7.4,0.0,0.0
6w4hpdbqt_ZINC000000003642,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000008667,-7.7,0.0,0.0
6w4hpdbqt_ZINC000000010164,-5.7,0.0,0.0
6w4hpdbqt_ZINC000000015515,-7.5,0.0,0.0
6w4hpdbqt_ZINC000000020237,-5.8,0.0,0.0
6w4hpdbqt_ZINC000000020259,-5.9,0.0,0.0
6w4hpdbqt_ZINC000000057001,-5.1,0.0,0.0
6w4hpdbqt_ZINC000000083315,-7.7,0.0,0.0
6w4hpdbqt_ZINC000000156792,-6.8,0.0,0.0
6w4hpdbqt_ZINC000000391812,-5.8,0.0,0.0
6w4hpdbqt_ZINC000000537928,-8.8,0.0,0.0
6w4hpdbqt_ZINC000000538312,-9.0,0.0,0.0
6w4hpdbqt_ZINC000000538550,-8.7,0.0,0.0
6w4hpdbqt_ZINC000000901555,-3.5,0.0,0.0
6w4hpdbqt_ZINC000001481815,-9.1,0.0,0.0
6w4hpdbqt_ZINC000001530601,-6.9,0.0,0.0
6w4hpdbqt_ZINC000001530617,-6.4,0.0,0.0
6w4hpdbqt_ZINC000001530788,-7.9,0.0,0.0
6w4hpdbqt_ZINC000001542392,-6.9,0.0,0.0
6w4hpdbqt_ZINC000001548097,-8.9,0.0,0.0
6w4hpdbqt_ZINC000001554274,-7.9,0.0,0.0
6w4hpdbqt_ZINC000001571009,-7.4,0.0,0.0
6w4hpdbqt_ZINC000001846431,-5.6,0.0,0.0
6w4hpdbqt_ZINC000002008310,-7.5,0.0,0.0
6w4hpdbqt_ZINC000002032615,-8.0,0.0,0.0
6w4hpdbqt_ZINC000002522669,-7.9,0.0,0.0
6w4hpdbqt_ZINC000003800475,-7.4,0.0,0.0
6w4hpdbqt_ZINC000003814395,-9.2,0.0,0.0
6w4hpdbqt_ZINC000003816514,-9.0,0.0,0.0
6w4hpdbqt_ZINC000003830212,-6.8,0.0,0.0
6w4hpdbqt_ZINC000003830321,-7.8,0.0,0.0
6w4hpdbqt_ZINC000003830441,-7.8,0.0,0.0
6w4hpdbqt_ZINC000003830945,-7.1,0.0,0.0
6w4hpdbqt_ZINC000003830990,-5.8,0.0,0.0
6w4hpdbqt_ZINC000003871923,-8.4,0.0,0.0
6w4hpdbqt_ZINC000003872994,-9.0,0.0,0.0
6w4hpdbqt_ZINC000003874498,-7.6,0.0,0.0
6w4hpdbqt_ZINC000003881640,-8.2,0.0,0.0
6w4hpdbqt_ZINC000003914808,-8.7,0.0,0.0
6w4hpdbqt_ZINC000003916214,-8.9,0.0,0.0
6w4hpdbqt_ZINC000003921872,-8.2,0.0,0.0
6w4hpdbqt_ZINC000003944422,-9.4,0.0,0.0
6w4hpdbqt_ZINC000003977952,-7.3,0.0,0.0
6w4hpdbqt_ZINC000003978006,-8.2,0.0,0.0
6w4hpdbqt_ZINC000003989268,-9.6,0.0,0.0
6w4hpdbqt_ZINC000003995811,-7.0,0.0,0.0
6w4hpdbqt_ZINC000004095696,-7.2,0.0,0.0
6w4hpdbqt_ZINC000004097309,-8.6,0.0,0.0
6w4hpdbqt_ZINC000004097467,-8.6,0.0,0.0
6w4hpdbqt_ZINC000004215234,-8.2,0.0,0.0
6w4hpdbqt_ZINC000004693574,-7.2,0.0,0.0
6w4hpdbqt_ZINC000005224188,-2.9,0.0,0.0
6w4hpdbqt_ZINC000016052277,-8.1,0.0,0.0
6w4hpdbqt_ZINC000019203912,-8.8,0.0,0.0
6w4hpdbqt_ZINC000019594599,-7.0,0.0,0.0
6w4hpdbqt_ZINC000019796168,-8.4,0.0,0.0
6w4hpdbqt_ZINC000026011099,-7.9,0.0,0.0
6w4hpdbqt_ZINC000026985532,-9.5,0.0,0.0
6w4hpdbqt_ZINC000033943508,-8.7,0.0,0.0
6w4hpdbqt_ZINC000035999642,-6.6,0.0,0.0
6w4hpdbqt_ZINC000036766734,-7.9,0.0,0.0
6w4hpdbqt_ZINC000052971887,-5.2,0.0,0.0
6w4hpdbqt_ZINC000068202099,-8.5,0.0,0.0
6w4hpdbqt_ZINC000072316335,-7.8,0.0,0.0
6w4hpdbqt_ZINC000084400879,-8.6,0.0,0.0
6w4hpdbqt_ZINC000095564694,-6.9,0.0,0.0
6w4hpdbqt_ZINC000100052267,-6.7,0.0,0.0
6w4hpdbqt_ZINC000118912450,-8.6,0.0,0.0
6w4hpdbqt_ZINC000145401681,-8.2,0.0,0.0
6w4hpdbqt_ZINC000150338755,-12.4,0.0,0.0
6w4hpdbqt_ZINC000150339323,-7.3,0.0,0.0
6w4hpdbqt_ZINC000150601177,-9.8,0.0,0.0
6w4hpdbqt_ZINC000169289388,-8.0,0.0,0.0
6w4hpdbqt_ZINC000256097213,-6.1,0.0,0.0
