Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6w4hpdbqt_ZINC000000000257conf1,-6.5,0.0,0.0
6w4hpdbqt_ZINC000000000257conf1,-6.4,11.372,8.422
6w4hpdbqt_ZINC000000000257conf1,-6.4,20.476,17.244
6w4hpdbqt_ZINC000000000257conf1,-6.3,19.496,17.253
6w4hpdbqt_ZINC000000000257conf1,-6.3,20.59,17.42
6w4hpdbqt_ZINC000000000257conf1,-6.3,10.593,8.77
6w4hpdbqt_ZINC000000000257conf1,-6.3,18.483,16.12
6w4hpdbqt_ZINC000000000257conf1,-6.1,19.96,15.575
6w4hpdbqt_ZINC000000000257conf1,-6.1,20.085,15.585
6w4hpdbqt_ZINC000000000257conf10,-7.0,0.0,0.0
6w4hpdbqt_ZINC000000000257conf10,-6.6,15.099,12.896
6w4hpdbqt_ZINC000000000257conf10,-6.5,4.106,2.339
6w4hpdbqt_ZINC000000000257conf10,-6.5,10.215,6.454
6w4hpdbqt_ZINC000000000257conf10,-6.4,13.854,11.682
6w4hpdbqt_ZINC000000000257conf10,-6.3,13.59,11.69
6w4hpdbqt_ZINC000000000257conf10,-6.3,13.071,11.41
6w4hpdbqt_ZINC000000000257conf10,-6.3,14.874,12.871
6w4hpdbqt_ZINC000000000257conf10,-6.3,13.438,11.087
6w4hpdbqt_ZINC000000000257conf11,-6.5,0.0,0.0
6w4hpdbqt_ZINC000000000257conf11,-6.3,4.713,3.216
6w4hpdbqt_ZINC000000000257conf11,-5.9,14.49,12.064
6w4hpdbqt_ZINC000000000257conf11,-5.9,14.473,12.367
6w4hpdbqt_ZINC000000000257conf11,-5.9,2.604,1.78
6w4hpdbqt_ZINC000000000257conf11,-5.8,16.881,14.574
6w4hpdbqt_ZINC000000000257conf11,-5.7,14.703,12.037
6w4hpdbqt_ZINC000000000257conf11,-5.7,14.709,12.833
6w4hpdbqt_ZINC000000000257conf11,-5.6,17.152,14.724
6w4hpdbqt_ZINC000000000257conf12,-6.8,0.0,0.0
6w4hpdbqt_ZINC000000000257conf12,-6.5,16.52,14.53
6w4hpdbqt_ZINC000000000257conf12,-6.4,16.078,14.397
6w4hpdbqt_ZINC000000000257conf12,-6.3,8.733,5.88
6w4hpdbqt_ZINC000000000257conf12,-6.3,9.134,6.381
6w4hpdbqt_ZINC000000000257conf12,-6.2,17.371,14.337
6w4hpdbqt_ZINC000000000257conf12,-6.2,16.295,14.766
6w4hpdbqt_ZINC000000000257conf12,-6.2,15.754,13.041
6w4hpdbqt_ZINC000000000257conf12,-6.2,17.678,13.814
6w4hpdbqt_ZINC000000000257conf13,-6.4,0.0,0.0
6w4hpdbqt_ZINC000000000257conf13,-6.3,3.954,2.387
6w4hpdbqt_ZINC000000000257conf13,-6.3,13.267,10.743
6w4hpdbqt_ZINC000000000257conf13,-6.2,15.148,13.003
6w4hpdbqt_ZINC000000000257conf13,-6.2,13.697,11.153
6w4hpdbqt_ZINC000000000257conf13,-6.2,13.267,10.573
6w4hpdbqt_ZINC000000000257conf13,-6.1,13.174,10.465
6w4hpdbqt_ZINC000000000257conf13,-6.0,16.408,14.416
6w4hpdbqt_ZINC000000000257conf13,-6.0,13.794,11.134
6w4hpdbqt_ZINC000000000257conf14,-6.7,0.0,0.0
6w4hpdbqt_ZINC000000000257conf14,-6.6,4.044,2.298
6w4hpdbqt_ZINC000000000257conf14,-6.4,13.387,11.167
6w4hpdbqt_ZINC000000000257conf14,-6.4,14.98,12.563
6w4hpdbqt_ZINC000000000257conf14,-6.4,6.958,2.826
6w4hpdbqt_ZINC000000000257conf14,-6.2,17.008,14.167
6w4hpdbqt_ZINC000000000257conf14,-6.2,13.661,11.537
6w4hpdbqt_ZINC000000000257conf14,-6.1,27.118,24.071
6w4hpdbqt_ZINC000000000257conf14,-6.0,13.819,11.51
6w4hpdbqt_ZINC000000000257conf15,-6.6,0.0,0.0
6w4hpdbqt_ZINC000000000257conf15,-6.4,20.371,15.767
6w4hpdbqt_ZINC000000000257conf15,-6.3,4.652,2.92
6w4hpdbqt_ZINC000000000257conf15,-6.2,12.862,10.023
6w4hpdbqt_ZINC000000000257conf15,-6.1,4.061,2.594
6w4hpdbqt_ZINC000000000257conf15,-6.1,4.612,3.107
6w4hpdbqt_ZINC000000000257conf15,-5.8,13.133,11.062
6w4hpdbqt_ZINC000000000257conf15,-5.8,7.978,3.807
6w4hpdbqt_ZINC000000000257conf15,-5.8,8.388,3.046
6w4hpdbqt_ZINC000000000257conf16,-6.6,0.0,0.0
6w4hpdbqt_ZINC000000000257conf16,-6.4,13.17,10.99
6w4hpdbqt_ZINC000000000257conf16,-6.3,12.829,10.026
6w4hpdbqt_ZINC000000000257conf16,-6.2,4.553,3.216
6w4hpdbqt_ZINC000000000257conf16,-6.0,2.72,1.586
6w4hpdbqt_ZINC000000000257conf16,-6.0,22.245,17.416
6w4hpdbqt_ZINC000000000257conf16,-5.9,4.336,3.128
6w4hpdbqt_ZINC000000000257conf16,-5.9,5.609,3.815
6w4hpdbqt_ZINC000000000257conf16,-5.9,30.499,27.704
6w4hpdbqt_ZINC000000000257conf2,-6.4,0.0,0.0
6w4hpdbqt_ZINC000000000257conf2,-6.3,3.191,1.797
6w4hpdbqt_ZINC000000000257conf2,-6.2,13.632,10.679
6w4hpdbqt_ZINC000000000257conf2,-6.1,15.584,13.167
6w4hpdbqt_ZINC000000000257conf2,-6.1,13.103,10.334
6w4hpdbqt_ZINC000000000257conf2,-6.1,4.266,2.596
6w4hpdbqt_ZINC000000000257conf2,-6.1,13.682,10.929
6w4hpdbqt_ZINC000000000257conf2,-6.0,6.15,3.821
6w4hpdbqt_ZINC000000000257conf2,-6.0,13.551,10.425
6w4hpdbqt_ZINC000000000257conf3,-6.4,0.0,0.0
6w4hpdbqt_ZINC000000000257conf3,-6.3,3.354,1.915
6w4hpdbqt_ZINC000000000257conf3,-6.2,13.268,10.33
6w4hpdbqt_ZINC000000000257conf3,-6.2,34.554,32.21
6w4hpdbqt_ZINC000000000257conf3,-6.1,7.882,4.688
6w4hpdbqt_ZINC000000000257conf3,-5.9,7.475,4.132
6w4hpdbqt_ZINC000000000257conf3,-5.9,3.949,2.525
6w4hpdbqt_ZINC000000000257conf3,-5.9,8.24,3.203
6w4hpdbqt_ZINC000000000257conf3,-5.8,13.506,10.548
6w4hpdbqt_ZINC000000000257conf4,-6.4,0.0,0.0
6w4hpdbqt_ZINC000000000257conf4,-6.2,13.893,11.781
6w4hpdbqt_ZINC000000000257conf4,-6.1,13.093,10.359
6w4hpdbqt_ZINC000000000257conf4,-6.1,13.491,11.381
6w4hpdbqt_ZINC000000000257conf4,-6.1,21.889,17.305
6w4hpdbqt_ZINC000000000257conf4,-6.1,7.04,3.159
6w4hpdbqt_ZINC000000000257conf4,-6.0,3.001,2.083
6w4hpdbqt_ZINC000000000257conf4,-6.0,13.065,11.421
6w4hpdbqt_ZINC000000000257conf4,-5.9,12.702,11.618
6w4hpdbqt_ZINC000000000257conf5,-6.5,0.0,0.0
6w4hpdbqt_ZINC000000000257conf5,-6.4,4.259,2.745
6w4hpdbqt_ZINC000000000257conf5,-6.2,13.423,10.707
6w4hpdbqt_ZINC000000000257conf5,-6.2,14.539,11.592
6w4hpdbqt_ZINC000000000257conf5,-6.2,13.358,10.546
6w4hpdbqt_ZINC000000000257conf5,-6.1,13.534,10.593
6w4hpdbqt_ZINC000000000257conf5,-6.0,14.149,11.384
6w4hpdbqt_ZINC000000000257conf5,-5.9,16.841,14.837
6w4hpdbqt_ZINC000000000257conf5,-5.9,13.447,10.66
6w4hpdbqt_ZINC000000000257conf6,-6.6,0.0,0.0
6w4hpdbqt_ZINC000000000257conf6,-6.6,2.072,1.43
6w4hpdbqt_ZINC000000000257conf6,-6.4,10.226,6.818
6w4hpdbqt_ZINC000000000257conf6,-6.4,14.283,12.153
6w4hpdbqt_ZINC000000000257conf6,-6.3,13.936,12.071
6w4hpdbqt_ZINC000000000257conf6,-6.3,4.556,3.135
6w4hpdbqt_ZINC000000000257conf6,-6.2,13.97,11.525
6w4hpdbqt_ZINC000000000257conf6,-6.1,31.844,29.346
6w4hpdbqt_ZINC000000000257conf6,-6.0,5.664,3.936
6w4hpdbqt_ZINC000000000257conf7,-6.9,0.0,0.0
6w4hpdbqt_ZINC000000000257conf7,-6.5,11.993,10.248
6w4hpdbqt_ZINC000000000257conf7,-6.4,12.001,10.04
6w4hpdbqt_ZINC000000000257conf7,-6.3,10.621,9.119
6w4hpdbqt_ZINC000000000257conf7,-6.3,13.134,11.353
6w4hpdbqt_ZINC000000000257conf7,-6.3,32.134,29.744
6w4hpdbqt_ZINC000000000257conf7,-6.3,3.807,2.417
6w4hpdbqt_ZINC000000000257conf7,-6.1,4.775,2.806
6w4hpdbqt_ZINC000000000257conf7,-6.1,14.587,12.569
6w4hpdbqt_ZINC000000000257conf8,-6.4,0.0,0.0
6w4hpdbqt_ZINC000000000257conf8,-6.3,14.839,13.206
6w4hpdbqt_ZINC000000000257conf8,-6.2,3.831,2.187
6w4hpdbqt_ZINC000000000257conf8,-6.2,14.045,11.699
6w4hpdbqt_ZINC000000000257conf8,-6.2,12.788,10.53
6w4hpdbqt_ZINC000000000257conf8,-6.1,14.226,12.038
6w4hpdbqt_ZINC000000000257conf8,-6.1,13.041,11.087
6w4hpdbqt_ZINC000000000257conf8,-6.0,14.12,11.968
6w4hpdbqt_ZINC000000000257conf8,-6.0,13.995,11.343
6w4hpdbqt_ZINC000000000257conf9,-6.2,0.0,0.0
6w4hpdbqt_ZINC000000000257conf9,-6.2,37.352,35.779
6w4hpdbqt_ZINC000000000257conf9,-6.0,13.021,10.759
6w4hpdbqt_ZINC000000000257conf9,-6.0,2.305,1.641
6w4hpdbqt_ZINC000000000257conf9,-6.0,13.737,12.096
6w4hpdbqt_ZINC000000000257conf9,-5.9,7.069,3.361
6w4hpdbqt_ZINC000000000257conf9,-5.9,37.537,35.89
6w4hpdbqt_ZINC000000000257conf9,-5.8,2.284,1.652
6w4hpdbqt_ZINC000000000257conf9,-5.7,3.66,2.097
6w4hpdbqt_ZINC000000001931conf1,-6.9,0.0,0.0
6w4hpdbqt_ZINC000000001931conf1,-6.8,14.89,13.189
6w4hpdbqt_ZINC000000001931conf1,-6.6,4.758,1.536
6w4hpdbqt_ZINC000000001931conf1,-6.5,2.739,1.756
6w4hpdbqt_ZINC000000001931conf1,-6.3,6.011,2.336
6w4hpdbqt_ZINC000000001931conf1,-6.3,2.654,1.451
6w4hpdbqt_ZINC000000001931conf1,-6.3,5.691,3.287
6w4hpdbqt_ZINC000000001931conf1,-6.1,4.686,1.85
6w4hpdbqt_ZINC000000001931conf1,-6.1,4.984,2.303
6w4hpdbqt_ZINC000000001931conf2,-6.9,0.0,0.0
6w4hpdbqt_ZINC000000001931conf2,-6.6,13.872,12.893
6w4hpdbqt_ZINC000000001931conf2,-6.6,4.706,1.464
6w4hpdbqt_ZINC000000001931conf2,-6.4,17.462,14.402
6w4hpdbqt_ZINC000000001931conf2,-6.3,5.58,3.272
6w4hpdbqt_ZINC000000001931conf2,-6.3,15.577,13.45
6w4hpdbqt_ZINC000000001931conf2,-6.2,6.94,3.376
