Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Acebutolol,-7.2,0.0,0.0
Ademetionine,-7.8,0.0,0.0
Apixaban,-9.0,0.0,0.0
Arformoterol,-8.2,0.0,0.0
Atenolol,-7.1,0.0,0.0
Axitinib,-9.8,0.0,0.0
Belinostat,-8.7,0.0,0.0
Benorilate,-7.9,0.0,0.0
Benserazide,-7.9,0.0,0.0
Bufexamac,-7.3,0.0,0.0
Bumadizone,-8.1,0.0,0.0
Capecitabine,-7.4,0.0,0.0
Carbocisteine,-5.8,0.0,0.0
Carteolol,-7.5,0.0,0.0
Chlorphenesin_carbamate,-7.5,0.0,0.0
Chlorpropamide,-6.7,0.0,0.0
Cidofovir,-7.1,0.0,0.0
Cimetidine,-6.9,0.0,0.0
Cladribine,-7.9,0.0,0.0
Domperidone,-9.5,0.0,0.0
Entecavir,-7.6,0.0,0.0
Epoprostenol,-7.5,0.0,0.0
Famciclovir,-7.4,0.0,0.0
Fingolimod,-6.8,0.0,0.0
Formoterol,-8.4,0.0,0.0
Ganciclovir,-7.3,0.0,0.0
Gemifloxacin,-8.3,0.0,0.0
Glyburide,-9.7,0.0,0.0
Hydroxychloroquine,-7.3,0.0,0.0
Ibutilide,-6.9,0.0,0.0
Imipenem,-6.7,0.0,0.0
Indacaterol,-10.0,0.0,0.0
Isoprenaline,-6.9,0.0,0.0
L-Arginine,-6.2,0.0,0.0
L-Cysteine,-5.8,0.0,0.0
L-Glutamine,-6.3,0.0,0.0
L-Lysine,-5.5,0.0,0.0
Labetalol,-8.9,0.0,0.0
Levalbuterol,-6.8,0.0,0.0
Levodopa,-6.9,0.0,0.0
Lisdexamfetamine,-7.2,0.0,0.0
Losartan,-8.0,0.0,0.0
Melphalan,-6.3,0.0,0.0
Metipranolol,-7.2,0.0,0.0
Midodrine,-7.0,0.0,0.0
Nadolol,-7.9,0.0,0.0
Oxamniquine,-7.4,0.0,0.0
Oxitriptan,-7.6,0.0,0.0
Panobinostat,-8.8,0.0,0.0
Penciclovir,-7.2,0.0,0.0
Pentetic_Acid,-6.6,0.0,0.0
Phthalylsulfathiazole,-9.0,0.0,0.0
Pindolol,-7.0,0.0,0.0
Practolol,-6.7,0.0,0.0
Procarbazine,-6.7,0.0,0.0
Protokylol,-8.5,0.0,0.0
Rabeprazole,-7.3,0.0,0.0
Regadenoson,-9.0,0.0,0.0
Regorafenib,-9.5,0.0,0.0
Ribavirin,-7.5,0.0,0.0
Ribostamycin,-7.8,0.0,0.0
Ritiometan,-5.8,0.0,0.0
Rutin,-9.0,0.0,0.0
Safinamide,-8.3,0.0,0.0
Salbutamol,-6.7,0.0,0.0
Sotalol,-7.0,0.0,0.0
Sulfamethizole,-7.2,0.0,0.0
Sulfametopyrazine,-7.2,0.0,0.0
Sulfoxone,-8.5,0.0,0.0
Taurolidine,-7.3,0.0,0.0
Terbutaline,-7.1,0.0,0.0
Tetracaine,-6.4,0.0,0.0
Timolol,-6.6,0.0,0.0
Trimetrexate,-8.9,0.0,0.0
Valganciclovir,-7.8,0.0,0.0
Vorinostat,-7.5,0.0,0.0
Zanamivir,-7.8,0.0,0.0
