Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6w4hpdbqt_Acebutololconf1,-6.8,0.0,0.0
6w4hpdbqt_Acebutololconf1,-6.6,5.563,3.391
6w4hpdbqt_Acebutololconf1,-6.6,3.188,2.656
6w4hpdbqt_Acebutololconf1,-6.6,7.762,2.034
6w4hpdbqt_Acebutololconf1,-6.3,38.486,37.35
6w4hpdbqt_Acebutololconf1,-6.3,8.322,1.752
6w4hpdbqt_Acebutololconf1,-6.3,38.454,37.327
6w4hpdbqt_Acebutololconf1,-6.1,8.484,1.517
6w4hpdbqt_Acebutololconf1,-6.1,12.82,8.703
6w4hpdbqt_Acebutololconf10,-6.7,0.0,0.0
6w4hpdbqt_Acebutololconf10,-6.7,7.793,1.706
6w4hpdbqt_Acebutololconf10,-6.6,8.417,3.111
6w4hpdbqt_Acebutololconf10,-6.6,12.996,10.625
6w4hpdbqt_Acebutololconf10,-6.5,31.279,27.862
6w4hpdbqt_Acebutololconf10,-6.5,2.674,2.019
6w4hpdbqt_Acebutololconf10,-6.5,19.267,15.827
6w4hpdbqt_Acebutololconf10,-6.4,15.158,11.882
6w4hpdbqt_Acebutololconf10,-6.3,4.641,3.499
6w4hpdbqt_Acebutololconf11,-6.9,0.0,0.0
6w4hpdbqt_Acebutololconf11,-6.9,3.239,2.614
6w4hpdbqt_Acebutololconf11,-6.8,7.943,1.951
6w4hpdbqt_Acebutololconf11,-6.7,5.382,3.357
6w4hpdbqt_Acebutololconf11,-6.5,3.577,2.172
6w4hpdbqt_Acebutololconf11,-6.3,8.395,1.585
6w4hpdbqt_Acebutololconf11,-6.3,8.511,1.996
6w4hpdbqt_Acebutololconf11,-6.2,31.856,30.361
6w4hpdbqt_Acebutololconf11,-6.1,9.997,3.827
6w4hpdbqt_Acebutololconf12,-7.1,0.0,0.0
6w4hpdbqt_Acebutololconf12,-7.0,6.969,4.099
6w4hpdbqt_Acebutololconf12,-6.8,4.792,3.605
6w4hpdbqt_Acebutololconf12,-6.7,8.704,3.33
6w4hpdbqt_Acebutololconf12,-6.6,31.244,28.785
6w4hpdbqt_Acebutololconf12,-6.6,4.814,3.419
6w4hpdbqt_Acebutololconf12,-6.5,3.544,2.789
6w4hpdbqt_Acebutololconf12,-6.5,8.471,3.934
6w4hpdbqt_Acebutololconf12,-6.4,5.019,2.787
6w4hpdbqt_Acebutololconf13,-6.8,0.0,0.0
6w4hpdbqt_Acebutololconf13,-6.8,18.593,15.781
6w4hpdbqt_Acebutololconf13,-6.7,7.835,2.151
6w4hpdbqt_Acebutololconf13,-6.6,12.611,11.074
6w4hpdbqt_Acebutololconf13,-6.5,8.355,1.57
6w4hpdbqt_Acebutololconf13,-6.5,3.016,2.37
6w4hpdbqt_Acebutololconf13,-6.4,5.082,3.084
6w4hpdbqt_Acebutololconf13,-6.2,31.499,29.972
6w4hpdbqt_Acebutololconf13,-6.1,9.842,4.215
6w4hpdbqt_Acebutololconf14,-7.1,0.0,0.0
6w4hpdbqt_Acebutololconf14,-7.1,3.24,2.626
6w4hpdbqt_Acebutololconf14,-6.8,6.877,4.058
6w4hpdbqt_Acebutololconf14,-6.8,12.936,9.193
6w4hpdbqt_Acebutololconf14,-6.8,7.77,1.843
6w4hpdbqt_Acebutololconf14,-6.7,1.75,1.41
6w4hpdbqt_Acebutololconf14,-6.6,8.26,2.859
6w4hpdbqt_Acebutololconf14,-6.6,8.818,3.293
6w4hpdbqt_Acebutololconf14,-6.4,14.192,12.126
